date, pm25, pm10, o3, no2
2023/7/30, 17, 5, 26, 3
2023/7/31, 15, 6, 25, 2
2023/8/1, 19, 3, 25, 3
2023/8/2, 11, 5, 26, 3
2023/8/3, 15, 5, 27, 1
2023/8/4, 10, 4, 26, 3
2023/8/5, 9, 6, 23, 4
2023/8/6, 15, 6, 23, 4
2023/8/7, 14, 6, 27, 
2023/8/8, 14, 4, 26, 1
2023/8/9, 11, 5, 26, 3
2023/8/10, 11, 6, 24, 6
2023/8/11, 14, 7, 31, 2
2023/8/12, 21, 6, 26, 6
2023/8/13, 20, 6, 23, 2
2023/8/14, 19, 4, 15, 9
2023/8/15, 12, 5, 22, 2
2023/8/16, 14, 4, 20, 5
2023/8/17, 12, 6, 16, 12
2023/8/18, 16, 6, 28, 13
2023/8/19, 15, 6, 22, 7
2023/8/20, 20, 8, 27, 2
2023/8/21, 25, 7, 25, 1
2023/8/22, 21, 6, 29, 2
2023/8/23, 13, 5, 23, 6
2023/8/24, 12, 5, 26, 8
2023/8/25, 12, 4, 24, 7
2023/8/26, 9, 3, 25, 6
2023/8/27, 7, 3, 25, 4
2023/8/28, 7, 3, 26, 1
2023/8/29, 9, 4, 22, 8
2023/8/30, 11, 6, 25, 10
2023/8/31, 15, 5, 26, 5
2023/9/1, 14, 4, 27, 4
2023/9/2, 10, 3, 28, 3
2023/9/3, 9, 6, 27, 5
2023/9/4, 17, 6, 25, 4
2023/9/5, 16, 27, 21, 12
2023/9/6, 30, 11, 29, 11
2023/9/7, 30, 18, 32, 10
2023/9/8, 50, 22, 47, 12
2023/9/9, 64, 8, 42, 7
2023/9/10, 28, 7, 45, 6
2023/9/11, 25, 7, 23, 6
2023/9/12, 14, 4, 27, 7
2023/9/13, 7, 4, 24, 2
2023/9/14, 8, 8, 25, 4
2023/9/15, 20, 5, 21, 6
2023/9/16, 12, 5, 16, 10
2023/9/17, 13, 4, 28, 8
2023/9/18, 11, 6, 31, 3
2023/9/19, 14, 3, 32, 2
2023/9/20, 9, 6, 31, 1
2023/9/21, 17, 7, 28, 2
2023/9/22, 16, 4, 25, 
2023/9/23, 11, 6, 30, 
2023/9/24, 17, 10, 32, 4
2023/9/25, 29, 12, 34, 2
2023/9/26, 33, 9, 31, 3
2023/9/27, 26, 7, 32, 1
2023/9/28, 20, 11, 28, 3
2023/9/29, 33, 10, 29, 2
2023/9/30, 25, 3, 26, 4
2023/4/1, 15, 7, 34, 6
2023/4/2, 19, 5, 32, 3
2023/4/3, 13, 6, 35, 6
2023/4/4, 13, , , 
2023/4/11, 13, 3, 35, 4
2023/4/12, 6, 3, 39, 6
2023/4/13, 6, 6, 37, 6
2023/4/14, 13, 7, 31, 6
2023/4/15, 18, 5, 32, 8
2023/4/16, 10, 8, 34, 11
2023/4/17, 17, 9, 37, 9
2023/4/18, 19, 10, 13, 11
2023/4/19, 14, 9, 39, 11
2023/4/20, 13, 8, 38, 9
2023/4/21, 14, 7, 40, 6
2023/4/22, 15, 10, 40, 3
2023/4/23, 33, 3, 36, 4
2023/4/24, 8, 4, 34, 5
2023/4/25, 8, 5, 36, 3
2023/4/26, 11, 5, 30, 2
2023/4/27, 13, 7, 30, 4
2023/4/28, 17, 6, 36, 1
2023/4/29, 15, 11, 36, 1
2023/4/30, 28, 5, 39, 1
2023/5/1, 15, 7, 32, 3
2023/5/2, 19, 6, 27, 3
2023/5/3, 13, 6, 31, 6
2023/5/4, 10, 8, 37, 6
2023/5/5, 14, 8, 36, 7
2023/5/6, 17, 9, 37, 7
2023/5/7, 22, 9, 43, 1
2023/5/8, 19, 6, 39, 1
2023/5/9, 16, 6, 28, 6
2023/5/10, 18, 17, 29, 6
2023/5/11, 57, 20, 29, 4
2023/5/12, 44, 7, 26, 1
2023/5/13, 28, 11, 31, 5
2023/5/14, 34, 7, 33, 2
2023/5/15, 18, 12, 26, 7
2023/5/16, 25, 10, 32, 
2023/5/17, 21, 8, 31, 
2023/5/18, 21, 11, 28, 6
2023/5/19, 39, 8, 32, 2
2023/5/20, 28, 8, 37, 3
2023/5/21, 26, 9, 28, 5
2023/5/22, 30, 11, 31, 1
2023/5/23, 28, 18, 32, 2
2023/5/24, 44, 24, 32, 
2023/5/25, 54, 14, 26, 2
2023/5/26, 33, 8, 1, 
2023/5/27, 22, 16, 1, 
2023/5/28, 35, 9, 1, 
2023/5/29, 24, 9, 30, 
2023/5/30, 21, 7, 27, 
2023/5/31, 16, 11, 31, 
2023/6/1, 19, 6, 26, 2
2023/6/2, 12, 6, 30, 2
2023/6/3, 14, 6, 30, 2
2023/6/4, 16, 9, 32, 1
2023/6/5, 19, 7, 29, 1
2023/6/6, 17, 7, 32, 2
2023/6/7, 17, 7, 28, 3
2023/6/8, 19, 13, 35, 7
2023/6/9, 33, 14, 38, 7
2023/6/10, 33, 12, 32, 10
2023/6/11, 26, 25, 33, 4
2023/6/12, 31, 12, 38, 10
2023/6/13, 24, 13, 40, 6
2023/6/14, 31, 17, 23, 7
2023/6/15, 52, 21, 30, 8
2023/6/16, 59, 19, 25, 10
